seqname,tax_id
DQ228457.1,g__Nitrosospira
AB212172.1,g__Nitrosomonas
DQ228455.1,g__Nitrosospira
KT809509.1,g__Halomonas
AF339039.1,g__Nitrosomonas
KU747139.1,g__Nitrosomonas
AJ238542.1,g__Nitrosospira
KX950755.1,f__Nitrosopumilus
MK978761.1,g__Candidatus_Nitrosocosmicus
HM345614.1,g__Nitrosomonas
KF957666.1,f__Nitrosopumilus
MK978748.1,g__Candidatus_Nitrosocosmicus
DQ228467.1,g__Nitrosomonas
AF327918.1,g__Nitrosomonas
DQ228465.1,g__Nitrosovibrio
U96611.1,s__Nitrosococcus_oceani
EF680456.1,g__Nitrosomonas
HM345609.1,f__Nitrosopumilus
Z97861.1,g__Nitrosomonas
HM345621.1,g__Nitrosomonas
MK978759.1,g__Candidatus_Nitrosocosmicus
DQ228463.1,g__Nitrosospira
HM345608.1,f__Nitrosopumilus
HM345610.1,f__Nitrosopumilus
KY006576.1,s__Morganella_morganii
JN367455.1,g__Nitrosococcus
KC775376.1,s__Acinetobacter_calcoaceticus/baumannii_complex
AF339040.1,g__Nitrosomonas
HM345619.1,g__Nitrosomonas
HM345618.1,g__Nitrosomonas
DQ228458.1,g__Nitrosospira
AF339038.1,g__Nitrosomonas
HM345616.1,g__Nitrosomonas
KC775377.1,g__Proteus
DQ228461.1,g__Nitrosospira
KX950754.1,f__Nitrosopumilus
AJ238495.1,g__Nitrosomonas
AY177933.1,g__Nitrosospira
MK978760.1,g__Candidatus_Nitrosocosmicus
KY006572.1,s__Morganella_morganii
AF327917.1,g__Nitrosomonas
DQ228466.1,g__Nitrosovibrio
JN367456.1,g__Nitrosomonas
MK978764.1,g__Candidatus_Nitrosocosmicus
DQ228468.1,g__Nitrosomonas
DQ228464.1,g__Nitrosospira
JN367453.1,g__Nitrosomonas
HM345622.1,g__Nitrosomonas
HM345612.1,g__Nitrosomonas
DQ228462.1,g__Nitrosospira
EF680457.1,g__Nitrosomonas
U31655.1,g__Nitrosospira
HM345611.1,f__Nitrosopumilus
JN367454.1,g__Nitrosomonas
AY189143.1,g__Nitrosospira
AY958704.1,g__Nitrosomonas
KU848181.1,g__Nitrosomonas
KU884942.1,f__Nitrosopumilus
DQ228456.1,g__Nitrosospira
AF339041.1,g__Nitrosomonas
JN227489.1,o__Candidatus_Nitrosotalea
HM345620.1,g__Nitrosomonas
AJ388585.1,g__Nitrosomonas
DQ228460.1,g__Nitrosospira
AF042171.1,g__Nitrosospira
KF957665.1,f__Nitrosopumilus
HM345617.1,g__Nitrosomonas
Z97858.1,g__Nitrosospira
AJ388587.1,g__Nitrosomonas
DQ208944.1,g__Nitrosospira
AY177932.1,g__Nitrosomonas
MG561381.1,s__Halomonas_elongata
KX950756.1,f__Nitrosopumilus
AB473817.1,g__Nitrosococcus
DQ228469.1,g__Nitrosomonas
MK978754.1,g__Candidatus_Nitrosocosmicus
U31649.1,s__Nitrosospira_multiformis
HM345613.1,g__Nitrosomonas
AY189145.1,g__Nitrosospira
U76553.1,s__Nitrosospira_briensis
AF339043.1,g__Nitrosomonas
U76552.1,g__Nitrosovibrio
DQ228454.1,g__Nitrosospira
KT380500.1,f__Nitrosopumilus
AJ238541.1,g__Nitrosomonas
LC053410.1,g__Nitrosomonas
AY958703.1,g__Nitrosomonas
AJ388584.1,g__Nitrosomonas
DQ208945.1,g__Nitrosospira
MK978749.1,g__Candidatus_Nitrosocosmicus
AF339042.1,s__Nitrosomonas_marina
AY635572.1,g__Nitrosospira
AF327919.1,g__Nitrosomonas
MG561382.1,g__Halomonas
KJ540206.1,o__Candidatus_Nitrosotalea
MK978750.1,g__Candidatus_Nitrosocosmicus
KR737580.1,f__Nitrosopumilus
MK978755.1,g__Candidatus_Nitrosocosmicus
AY026907.1,g__Nitrosomonas
AJ388586.1,g__Nitrosomonas
AY189146.1,g__Nitrosospira
MK978757.1,g__Candidatus_Nitrosocosmicus
KJ794819.1,g__Nitrosomonas
JN367457.1,g__Nitrosomonas
AY189144.1,g__Nitrosospira
Z97860.1,g__Nitrosospira
