tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,rank_0,k__Bacteria,Root,k__Bacteria,,,,,,
p__Proteobacteria,k__Bacteria,rank_1,p__Proteobacteria,Root,k__Bacteria,p__Proteobacteria,,,,,
c__Betaproteobacteria,p__Proteobacteria,rank_2,c__Betaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,,,,
o__Nitrosomonadales,c__Betaproteobacteria,rank_3,o__Nitrosomonadales,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,,,
f__Nitrosomonadaceae,o__Nitrosomonadales,rank_4,f__Nitrosomonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,,
g__Nitrosospira,f__Nitrosomonadaceae,rank_5,g__Nitrosospira,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosospira,
g__Nitrosomonas,f__Nitrosomonadaceae,rank_5,g__Nitrosomonas,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,
c__Gammaproteobacteria,p__Proteobacteria,rank_2,c__Gammaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
o__Oceanospirillales,c__Gammaproteobacteria,rank_3,o__Oceanospirillales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,,,
f__Halomonadaceae,o__Oceanospirillales,rank_4,f__Halomonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,,
g__Halomonas,f__Halomonadaceae,rank_5,g__Halomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,g__Halomonas,
k__Archaea,Root,rank_0,k__Archaea,Root,k__Archaea,,,,,,
p__Thaumarchaeota,k__Archaea,rank_1,p__Thaumarchaeota,Root,k__Archaea,p__Thaumarchaeota,,,,,
c__Nitrosopumilales,p__Thaumarchaeota,rank_2,c__Nitrosopumilales,Root,k__Archaea,p__Thaumarchaeota,c__Nitrosopumilales,,,,
o__Nitrosopumilaceae,c__Nitrosopumilales,rank_3,o__Nitrosopumilaceae,Root,k__Archaea,p__Thaumarchaeota,c__Nitrosopumilales,o__Nitrosopumilaceae,,,
f__Nitrosopumilus,o__Nitrosopumilaceae,rank_4,f__Nitrosopumilus,Root,k__Archaea,p__Thaumarchaeota,c__Nitrosopumilales,o__Nitrosopumilaceae,f__Nitrosopumilus,,
c__Nitrososphaeria,p__Thaumarchaeota,rank_2,c__Nitrososphaeria,Root,k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,,,,
o__Nitrososphaerales,c__Nitrososphaeria,rank_3,o__Nitrososphaerales,Root,k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,,,
f__Nitrososphaeraceae,o__Nitrososphaerales,rank_4,f__Nitrososphaeraceae,Root,k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,,
g__Candidatus_Nitrosocosmicus,f__Nitrososphaeraceae,rank_5,g__Candidatus_Nitrosocosmicus,Root,k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrososphaeraceae,g__Candidatus_Nitrosocosmicus,
g__Nitrosovibrio,f__Nitrosomonadaceae,rank_5,g__Nitrosovibrio,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosovibrio,
o__Chromatiales,c__Gammaproteobacteria,rank_3,o__Chromatiales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,,,
f__Chromatiaceae,o__Chromatiales,rank_4,f__Chromatiaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,,
g__Nitrosococcus,f__Chromatiaceae,rank_5,g__Nitrosococcus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Nitrosococcus,
s__Nitrosococcus_oceani,g__Nitrosococcus,rank_6,s__Nitrosococcus_oceani,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Nitrosococcus,s__Nitrosococcus_oceani
o__Enterobacterales,c__Gammaproteobacteria,rank_3,o__Enterobacterales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,,,
f__Morganellaceae,o__Enterobacterales,rank_4,f__Morganellaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,,
g__Morganella,f__Morganellaceae,rank_5,g__Morganella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Morganella,
s__Morganella_morganii,g__Morganella,rank_6,s__Morganella_morganii,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Morganella,s__Morganella_morganii
o__Pseudomonadales,c__Gammaproteobacteria,rank_3,o__Pseudomonadales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,,,
f__Moraxellaceae,o__Pseudomonadales,rank_4,f__Moraxellaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,,
g__Acinetobacter,f__Moraxellaceae,rank_5,g__Acinetobacter,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,
s__Acinetobacter_calcoaceticus/baumannii_complex,g__Acinetobacter,rank_6,s__Acinetobacter_calcoaceticus/baumannii_complex,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_calcoaceticus/baumannii_complex
g__Proteus,f__Morganellaceae,rank_5,g__Proteus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Proteus,
c__unclassified_Thaumarchaeota,p__Thaumarchaeota,rank_2,c__unclassified_Thaumarchaeota,Root,k__Archaea,p__Thaumarchaeota,c__unclassified_Thaumarchaeota,,,,
o__Candidatus_Nitrosotalea,c__unclassified_Thaumarchaeota,rank_3,o__Candidatus_Nitrosotalea,Root,k__Archaea,p__Thaumarchaeota,c__unclassified_Thaumarchaeota,o__Candidatus_Nitrosotalea,,,
s__Halomonas_elongata,g__Halomonas,rank_6,s__Halomonas_elongata,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,g__Halomonas,s__Halomonas_elongata
s__Nitrosospira_multiformis,g__Nitrosospira,rank_6,s__Nitrosospira_multiformis,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosospira,s__Nitrosospira_multiformis
s__Nitrosospira_briensis,g__Nitrosospira,rank_6,s__Nitrosospira_briensis,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosospira,s__Nitrosospira_briensis
s__Nitrosomonas_marina,g__Nitrosomonas,rank_6,s__Nitrosomonas_marina,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas_marina
