seqname,tax_id
FM212294.1,k__Bacteria
KP992650.1,k__Bacteria
KF779436.1,k__Bacteria
AY953412.1,k__Bacteria
EF065068.1,k__Bacteria
AY741556.1,k__Bacteria
KF779434.1,k__Bacteria
KF910944.1,k__Bacteria
AY953410.1,k__Bacteria
KF779432.1,k__Bacteria
FM179970.1,k__Bacteria
KF779414.1,k__Bacteria
KF896919.1,k__Bacteria
AY929604.1,k__Bacteria
FN794310.1,k__Bacteria
AF418189.1,s__Desulfonatronum_lacustre
FN794196.1,k__Bacteria
U58118.2,s__Desulfotomaculum_ruminis
FM212290.1,k__Bacteria
FN794194.1,k__Bacteria
FM212387.1,k__Bacteria
FM212296.1,k__Bacteria
FJ748842.1,k__Bacteria
EF065064.1,k__Bacteria
KP992553.1,k__Bacteria
KP992829.1,k__Bacteria
KP992690.1,k__Bacteria
AY237254.1,k__Bacteria
AY741570.1,k__Bacteria
KP992551.1,k__Bacteria
KP992827.1,k__Bacteria
AF418197.1,g__Desulfonatronovibrio
FM212298.1,k__Bacteria
KP992692.1,k__Bacteria
AY741572.1,k__Bacteria
KP992825.1,k__Bacteria
AF418195.1,s__Desulfohalotomaculum_alkaliphilum
AF418193.1,s__Syntrophobacter_fumaroxidans
KP992814.1,k__Bacteria
KP992694.1,k__Bacteria
KP992541.1,k__Bacteria
AY929595.1,k__Bacteria
KF896985.1,k__Bacteria
KC750906.1,k__Bacteria
KP992543.1,k__Bacteria
KF896987.1,k__Bacteria
KC750904.1,k__Bacteria
KP992835.1,k__Bacteria
KC750902.1,k__Bacteria
AY751284.1,f__Peptococcaceae
EF065052.1,k__Bacteria
KP992735.1,k__Bacteria
EF065050.1,k__Bacteria
AY741566.1,k__Bacteria
JN798927.1,k__Bacteria
AY167468.1,k__Bacteria
KJ801802.1,g__Desulfovibrio
KP992808.1,k__Bacteria
EU294503.1,g__Desulfovibrio
KP992547.1,k__Bacteria
AB124925.1,k__Bacteria
KP992725.1,k__Bacteria
FN794372.1,k__Bacteria
FN794328.1,k__Bacteria
KP992804.1,k__Bacteria
GU288615.1,k__Bacteria
U58114.2,g__Desulfovibrio
AF418187.1,s__Desulfovibrio_fructosivorans
KP992806.1,k__Bacteria
KP992800.1,k__Bacteria
GU288619.1,k__Bacteria
KP992739.1,k__Bacteria
FM212393.1,k__Bacteria
