tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,rank_0,k__Bacteria,Root,k__Bacteria,,,,,,
p__Proteobacteria,k__Bacteria,rank_1,p__Proteobacteria,Root,k__Bacteria,p__Proteobacteria,,,,,
c__Deltaproteobacteria,p__Proteobacteria,rank_2,c__Deltaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,,,,
o__Desulfovibrionales,c__Deltaproteobacteria,rank_3,o__Desulfovibrionales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,,,
f__Desulfonatronaceae,o__Desulfovibrionales,rank_4,f__Desulfonatronaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfonatronaceae,,
g__Desulfonatronum,f__Desulfonatronaceae,rank_5,g__Desulfonatronum,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfonatronaceae,g__Desulfonatronum,
s__Desulfonatronum_lacustre,g__Desulfonatronum,rank_6,s__Desulfonatronum_lacustre,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfonatronaceae,g__Desulfonatronum,s__Desulfonatronum_lacustre
p__Firmicutes,k__Bacteria,rank_1,p__Firmicutes,Root,k__Bacteria,p__Firmicutes,,,,,
c__Clostridia,p__Firmicutes,rank_2,c__Clostridia,Root,k__Bacteria,p__Firmicutes,c__Clostridia,,,,
o__Clostridiales,c__Clostridia,rank_3,o__Clostridiales,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,,,
f__Peptococcaceae,o__Clostridiales,rank_4,f__Peptococcaceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,,
g__Desulfotomaculum,f__Peptococcaceae,rank_5,g__Desulfotomaculum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfotomaculum,
s__Desulfotomaculum_ruminis,g__Desulfotomaculum,rank_6,s__Desulfotomaculum_ruminis,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfotomaculum,s__Desulfotomaculum_ruminis
f__Desulfohalobiaceae,o__Desulfovibrionales,rank_4,f__Desulfohalobiaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfohalobiaceae,,
g__Desulfonatronovibrio,f__Desulfohalobiaceae,rank_5,g__Desulfonatronovibrio,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfohalobiaceae,g__Desulfonatronovibrio,
g__Desulfohalotomaculum,f__Peptococcaceae,rank_5,g__Desulfohalotomaculum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfohalotomaculum,
s__Desulfohalotomaculum_alkaliphilum,g__Desulfohalotomaculum,rank_6,s__Desulfohalotomaculum_alkaliphilum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfohalotomaculum,s__Desulfohalotomaculum_alkaliphilum
o__Syntrophobacterales,c__Deltaproteobacteria,rank_3,o__Syntrophobacterales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,,,
f__Syntrophobacteraceae,o__Syntrophobacterales,rank_4,f__Syntrophobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,,
g__Syntrophobacter,f__Syntrophobacteraceae,rank_5,g__Syntrophobacter,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__Syntrophobacter,
s__Syntrophobacter_fumaroxidans,g__Syntrophobacter,rank_6,s__Syntrophobacter_fumaroxidans,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__Syntrophobacter,s__Syntrophobacter_fumaroxidans
f__Desulfovibrionaceae,o__Desulfovibrionales,rank_4,f__Desulfovibrionaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,,
g__Desulfovibrio,f__Desulfovibrionaceae,rank_5,g__Desulfovibrio,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
s__Desulfovibrio_fructosivorans,g__Desulfovibrio,rank_6,s__Desulfovibrio_fructosivorans,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio_fructosivorans
p__Verrucomicrobia,k__Bacteria,rank_1,p__Verrucomicrobia,Root,k__Bacteria,p__Verrucomicrobia,,,,,
c__Verrucomicrobiae,p__Verrucomicrobia,rank_2,c__Verrucomicrobiae,Root,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,,,,
o__Verrucomicrobiales,c__Verrucomicrobiae,rank_3,o__Verrucomicrobiales,Root,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,,,
g__Desulforhabdus,f__Syntrophobacteraceae,rank_5,g__Desulforhabdus,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__Desulforhabdus,
g__Desulfohalobium,f__Desulfohalobiaceae,rank_5,g__Desulfohalobium,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfohalobiaceae,g__Desulfohalobium,
o__Desulfobacterales,c__Deltaproteobacteria,rank_3,o__Desulfobacterales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,,,
f__Desulfobacteraceae,o__Desulfobacterales,rank_4,f__Desulfobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,,
g__Desulfobacterium,f__Desulfobacteraceae,rank_5,g__Desulfobacterium,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfobacterium,
c__Alphaproteobacteria,p__Proteobacteria,rank_2,c__Alphaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
f__Desulfomicrobiaceae,o__Desulfovibrionales,rank_4,f__Desulfomicrobiaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,,
g__Desulfomicrobium,f__Desulfomicrobiaceae,rank_5,g__Desulfomicrobium,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
p__Acidobacteria,k__Bacteria,rank_1,p__Acidobacteria,Root,k__Bacteria,p__Acidobacteria,,,,,
c__Acidobacteriia,p__Acidobacteria,rank_2,c__Acidobacteriia,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,,,,
o__Acidobacteriales,c__Acidobacteriia,rank_3,o__Acidobacteriales,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,,,
f__Acidobacteriaceae,o__Acidobacteriales,rank_4,f__Acidobacteriaceae,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,,
g__Candidatus_Sulfotelmatobacter,f__Acidobacteriaceae,rank_5,g__Candidatus_Sulfotelmatobacter,Root,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__Candidatus_Sulfotelmatobacter,
g__Desulfofundulus,f__Peptococcaceae,rank_5,g__Desulfofundulus,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfofundulus,
s__Desulfofundulus_kuznetsovii,g__Desulfofundulus,rank_6,s__Desulfofundulus_kuznetsovii,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfofundulus,s__Desulfofundulus_kuznetsovii
k__Archaea,Root,rank_0,k__Archaea,Root,k__Archaea,,,,,,
s__Desulfovibrio_piger,g__Desulfovibrio,rank_6,s__Desulfovibrio_piger,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio_piger
g__Desulfotignum,f__Desulfobacteraceae,rank_5,g__Desulfotignum,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfotignum,
g__Sporotomaculum,f__Peptococcaceae,rank_5,g__Sporotomaculum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Sporotomaculum,
f__Desulfobulbaceae,o__Desulfobacterales,rank_4,f__Desulfobulbaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,,
g__Candidatus_Electrothrix,f__Desulfobulbaceae,rank_5,g__Candidatus_Electrothrix,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Candidatus_Electrothrix,
g__Desulfatiferula,f__Desulfobacteraceae,rank_5,g__Desulfatiferula,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfatiferula,
c__Gammaproteobacteria,p__Proteobacteria,rank_2,c__Gammaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
o__Chromatiales,c__Gammaproteobacteria,rank_3,o__Chromatiales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,,,
f__Chromatiaceae,o__Chromatiales,rank_4,f__Chromatiaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,,
g__Thiocapsa,f__Chromatiaceae,rank_5,g__Thiocapsa,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Thiocapsa,
g__Desulfitispora,f__Peptococcaceae,rank_5,g__Desulfitispora,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfitispora,
g__Desulfosarcina,f__Desulfobacteraceae,rank_5,g__Desulfosarcina,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfosarcina,
g__Desulfococcus,f__Desulfobacteraceae,rank_5,g__Desulfococcus,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfococcus,
g__Marichromatium,f__Chromatiaceae,rank_5,g__Marichromatium,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Marichromatium,
s__Desulfotomaculum_nigrificans,g__Desulfotomaculum,rank_6,s__Desulfotomaculum_nigrificans,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfotomaculum,s__Desulfotomaculum_nigrificans
g__Desulfofaba,f__Desulfobacteraceae,rank_5,g__Desulfofaba,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfofaba,
g__Desulfallas,f__Peptococcaceae,rank_5,g__Desulfallas,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfallas,
g__Desulfofarcimen,f__Peptococcaceae,rank_5,g__Desulfofarcimen,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfofarcimen,
s__Candidatus_Electrothrix_marina,g__Candidatus_Electrothrix,rank_6,s__Candidatus_Electrothrix_marina,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Candidatus_Electrothrix,s__Candidatus_Electrothrix_marina
f__unclassified_Desulfovibrionales,o__Desulfovibrionales,rank_4,f__unclassified_Desulfovibrionales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__unclassified_Desulfovibrionales,,
s__Desulfovibrio_senezii,g__Desulfovibrio,rank_6,s__Desulfovibrio_senezii,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio_senezii
g__Desulfobacula,f__Desulfobacteraceae,rank_5,g__Desulfobacula,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfobacula,
g__Halodesulfovibrio,f__Desulfovibrionaceae,rank_5,g__Halodesulfovibrio,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Halodesulfovibrio,
s__Halodesulfovibrio_oceani,g__Halodesulfovibrio,rank_6,s__Halodesulfovibrio_oceani,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Halodesulfovibrio,s__Halodesulfovibrio_oceani
g__Desulforhopalus,f__Desulfobulbaceae,rank_5,g__Desulforhopalus,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulforhopalus,
s__Desulfohalotomaculum_halophilum,g__Desulfohalotomaculum,rank_6,s__Desulfohalotomaculum_halophilum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfohalotomaculum,s__Desulfohalotomaculum_halophilum
s__Desulfovibrio_termitidis,g__Desulfovibrio,rank_6,s__Desulfovibrio_termitidis,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio_termitidis
g__Thiocystis,f__Chromatiaceae,rank_5,g__Thiocystis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Thiocystis,
s__Candidatus_Electrothrix_communis,g__Candidatus_Electrothrix,rank_6,s__Candidatus_Electrothrix_communis,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Candidatus_Electrothrix,s__Candidatus_Electrothrix_communis
g__Halochromatium,f__Chromatiaceae,rank_5,g__Halochromatium,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Halochromatium,
p__Bacteroidetes,k__Bacteria,rank_1,p__Bacteroidetes,Root,k__Bacteria,p__Bacteroidetes,,,,,
c__Bacteroidia,p__Bacteroidetes,rank_2,c__Bacteroidia,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,,,,
o__Bacteroidales,c__Bacteroidia,rank_3,o__Bacteroidales,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
f__Rikenellaceae,o__Bacteroidales,rank_4,f__Rikenellaceae,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,,
g__Alistipes,f__Rikenellaceae,rank_5,g__Alistipes,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,
s__Alistipes_ihumii,g__Alistipes,rank_6,s__Alistipes_ihumii,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_ihumii
g__Desulfofustis,f__Desulfobulbaceae,rank_5,g__Desulfofustis,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfofustis,
g__Desulfobulbus,f__Desulfobulbaceae,rank_5,g__Desulfobulbus,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
f__Syntrophaceae,o__Syntrophobacterales,rank_4,f__Syntrophaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,,
g__Desulfobacca,f__Syntrophaceae,rank_5,g__Desulfobacca,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,g__Desulfobacca,
g__Desulfobacter,f__Desulfobacteraceae,rank_5,g__Desulfobacter,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfobacter,
g__Desulfatiglans,f__Desulfobacteraceae,rank_5,g__Desulfatiglans,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfatiglans,
s__Desulfatiglans_anilini,g__Desulfatiglans,rank_6,s__Desulfatiglans_anilini,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfatiglans,s__Desulfatiglans_anilini
p__Nitrospirae,k__Bacteria,rank_1,p__Nitrospirae,Root,k__Bacteria,p__Nitrospirae,,,,,
c__Nitrospira,p__Nitrospirae,rank_2,c__Nitrospira,Root,k__Bacteria,p__Nitrospirae,c__Nitrospira,,,,
o__Nitrospirales,c__Nitrospira,rank_3,o__Nitrospirales,Root,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,,,
f__Nitrospiraceae,o__Nitrospirales,rank_4,f__Nitrospiraceae,Root,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae,,
g__Thermodesulfovibrio,f__Nitrospiraceae,rank_5,g__Thermodesulfovibrio,Root,k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae,g__Thermodesulfovibrio,
g__Candidatus_Thiobios,c__Gammaproteobacteria,rank_3,g__Candidatus_Thiobios,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,g__Candidatus_Thiobios,,,
g__Desulfobotulus,f__Desulfobacteraceae,rank_5,g__Desulfobotulus,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfobotulus,
g__Desulfitobacterium,f__Peptococcaceae,rank_5,g__Desulfitobacterium,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfitobacterium,
