seqname,tax_id
FR686347,s__Methyloferula_stellata
DQ664498,s__Methylocystis_hirsuta
AJ555245,s__Methylocella_tundrae
M90050,s__Methylococcus_capsulatus
AJ458528,s__Methylosinus_sporium
AB983338,s__Methylomagnum_ishizawai
HE798550,s__Methylocystis_bryophila
AB253366,s__Methylomicrobium_japanense
AJ868418,s__Methylosinus_trichosporium
AJ491848,s__Methylocella_silvestris
DQ295843,s__Methylomicrobium_buryatense
LT934199,s__Methylocella_palustris
DQ008382,environmental_samples
FR726170,environmental_samples
AB900160,s__Methylocaldum_marinum
ODS00093,s__Methyloceanibacter_methanicus
AB501286,s__Methylovulum_miyakonense
AM283545,s__Methylocystis_heyeri
