tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,rank_0,k__Bacteria,Root,k__Bacteria,,,,,,
p__Proteobacteria,k__Bacteria,rank_1,p__Proteobacteria,Root,k__Bacteria,p__Proteobacteria,,,,,
c__Alphaproteobacteria,p__Proteobacteria,rank_2,c__Alphaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
o__Rhizobiales,c__Alphaproteobacteria,rank_3,o__Rhizobiales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,,,
f__Beijerinckiaceae,o__Rhizobiales,rank_4,f__Beijerinckiaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,,
g__Methyloferula,f__Beijerinckiaceae,rank_5,g__Methyloferula,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methyloferula,
s__Methyloferula_stellata,g__Methyloferula,rank_6,s__Methyloferula_stellata,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methyloferula,s__Methyloferula_stellata
f__Methylocystaceae,o__Rhizobiales,rank_4,f__Methylocystaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,,
g__Methylocystis,f__Methylocystaceae,rank_5,g__Methylocystis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylocystis,
s__Methylocystis_hirsuta,g__Methylocystis,rank_6,s__Methylocystis_hirsuta,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylocystis,s__Methylocystis_hirsuta
g__Methylocella,f__Beijerinckiaceae,rank_5,g__Methylocella,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocella,
s__Methylocella_tundrae,g__Methylocella,rank_6,s__Methylocella_tundrae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocella,s__Methylocella_tundrae
c__Gammaproteobacteria,p__Proteobacteria,rank_2,c__Gammaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
o__Methylococcales,c__Gammaproteobacteria,rank_3,o__Methylococcales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,,,
f__Methylococcaceae,o__Methylococcales,rank_4,f__Methylococcaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,,
g__Methylococcus,f__Methylococcaceae,rank_5,g__Methylococcus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylococcus,
s__Methylococcus_capsulatus,g__Methylococcus,rank_6,s__Methylococcus_capsulatus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylococcus,s__Methylococcus_capsulatus
g__Methylosinus,f__Methylocystaceae,rank_5,g__Methylosinus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylosinus,
s__Methylosinus_sporium,g__Methylosinus,rank_6,s__Methylosinus_sporium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylosinus,s__Methylosinus_sporium
g__Methylomagnum,f__Methylococcaceae,rank_5,g__Methylomagnum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomagnum,
s__Methylomagnum_ishizawai,g__Methylomagnum,rank_6,s__Methylomagnum_ishizawai,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomagnum,s__Methylomagnum_ishizawai
s__Methylocystis_bryophila,g__Methylocystis,rank_6,s__Methylocystis_bryophila,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylocystis,s__Methylocystis_bryophila
g__Methylomicrobium,f__Methylococcaceae,rank_5,g__Methylomicrobium,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomicrobium,
s__Methylomicrobium_japanense,g__Methylomicrobium,rank_6,s__Methylomicrobium_japanense,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomicrobium,s__Methylomicrobium_japanense
s__Methylosinus_trichosporium,g__Methylosinus,rank_6,s__Methylosinus_trichosporium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylosinus,s__Methylosinus_trichosporium
s__Methylocella_silvestris,g__Methylocella,rank_6,s__Methylocella_silvestris,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocella,s__Methylocella_silvestris
s__Methylomicrobium_buryatense,g__Methylomicrobium,rank_6,s__Methylomicrobium_buryatense,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomicrobium,s__Methylomicrobium_buryatense
s__Methylocella_palustris,g__Methylocella,rank_6,s__Methylocella_palustris,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocella,s__Methylocella_palustris
environmental_samples,k__Bacteria,rank_1,environmental_samples,Root,k__Bacteria,environmental_samples,,,,,
g__Methylocaldum,f__Methylococcaceae,rank_5,g__Methylocaldum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocaldum,
s__Methylocaldum_marinum,g__Methylocaldum,rank_6,s__Methylocaldum_marinum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocaldum,s__Methylocaldum_marinum
f__unclassified_Rhizobiales,o__Rhizobiales,rank_4,f__unclassified_Rhizobiales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__unclassified_Rhizobiales,,
g__Methyloceanibacter,f__unclassified_Rhizobiales,rank_5,g__Methyloceanibacter,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__unclassified_Rhizobiales,g__Methyloceanibacter,
s__Methyloceanibacter_methanicus,g__Methyloceanibacter,rank_6,s__Methyloceanibacter_methanicus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__unclassified_Rhizobiales,g__Methyloceanibacter,s__Methyloceanibacter_methanicus
g__Methylovulum,f__Methylococcaceae,rank_5,g__Methylovulum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylovulum,
s__Methylovulum_miyakonense,g__Methylovulum,rank_6,s__Methylovulum_miyakonense,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylovulum,s__Methylovulum_miyakonense
s__Methylocystis_heyeri,g__Methylocystis,rank_6,s__Methylocystis_heyeri,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylocystis,s__Methylocystis_heyeri
