tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,rank_0,k__Bacteria,Root,k__Bacteria,,,,,,
p__Verrucomicrobia,k__Bacteria,rank_1,p__Verrucomicrobia,Root,k__Bacteria,p__Verrucomicrobia,,,,,
c__unclassified_Verrucomicrobia,p__Verrucomicrobia,rank_2,c__unclassified_Verrucomicrobia,Root,k__Bacteria,p__Verrucomicrobia,c__unclassified_Verrucomicrobia,,,,
g__Methylacidimicrobium,c__unclassified_Verrucomicrobia,rank_3,g__Methylacidimicrobium,Root,k__Bacteria,p__Verrucomicrobia,c__unclassified_Verrucomicrobia,g__Methylacidimicrobium,,,
s__Methylacidimicrobium_cyclopophantes,g__Methylacidimicrobium,rank_4,s__Methylacidimicrobium_cyclopophantes,Root,k__Bacteria,p__Verrucomicrobia,c__unclassified_Verrucomicrobia,g__Methylacidimicrobium,s__Methylacidimicrobium_cyclopophantes,,
p__Proteobacteria,k__Bacteria,rank_1,p__Proteobacteria,Root,k__Bacteria,p__Proteobacteria,,,,,
c__Gammaproteobacteria,p__Proteobacteria,rank_2,c__Gammaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
o__Methylococcales,c__Gammaproteobacteria,rank_3,o__Methylococcales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,,,
f__Methylococcaceae,o__Methylococcales,rank_4,f__Methylococcaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,,
g__Methyloprofundus,f__Methylococcaceae,rank_5,g__Methyloprofundus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloprofundus,
s__Methyloprofundus_sedimenti,g__Methyloprofundus,rank_6,s__Methyloprofundus_sedimenti,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloprofundus,s__Methyloprofundus_sedimenti
s__Methylacidimicrobium_tartarophylax,g__Methylacidimicrobium,rank_4,s__Methylacidimicrobium_tartarophylax,Root,k__Bacteria,p__Verrucomicrobia,c__unclassified_Verrucomicrobia,g__Methylacidimicrobium,s__Methylacidimicrobium_tartarophylax,,
f__Crenotrichaceae,o__Methylococcales,rank_4,f__Crenotrichaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Crenotrichaceae,,
g__Crenothrix,f__Crenotrichaceae,rank_5,g__Crenothrix,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Crenotrichaceae,g__Crenothrix,
s__Crenothrix_polyspora,g__Crenothrix,rank_6,s__Crenothrix_polyspora,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Crenotrichaceae,g__Crenothrix,s__Crenothrix_polyspora
c__Alphaproteobacteria,p__Proteobacteria,rank_2,c__Alphaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
o__Rhizobiales,c__Alphaproteobacteria,rank_3,o__Rhizobiales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,,,
f__Methylocystaceae,o__Rhizobiales,rank_4,f__Methylocystaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,,
g__Methylocystis,f__Methylocystaceae,rank_5,g__Methylocystis,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylocystis,
s__Methylocystis_hirsuta,g__Methylocystis,rank_6,s__Methylocystis_hirsuta,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylocystis,s__Methylocystis_hirsuta
g__Methylomonas,f__Methylococcaceae,rank_5,g__Methylomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomonas,
s__Methylomonas_paludis,g__Methylomonas,rank_6,s__Methylomonas_paludis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomonas,s__Methylomonas_paludis
g__Methylocucumis,f__Methylococcaceae,rank_5,g__Methylocucumis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocucumis,
s__Methylocucumis_oryzae,g__Methylocucumis,rank_6,s__Methylocucumis_oryzae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocucumis,s__Methylocucumis_oryzae
p__candidate_division_NC10,k__Bacteria,rank_1,p__candidate_division_NC10,Root,k__Bacteria,p__candidate_division_NC10,,,,,
g__Candidatus_Methylomirabilis,p__candidate_division_NC10,rank_2,g__Candidatus_Methylomirabilis,Root,k__Bacteria,p__candidate_division_NC10,g__Candidatus_Methylomirabilis,,,,
s__Methylomirabilis_lanthanidiphila,g__Candidatus_Methylomirabilis,rank_3,s__Methylomirabilis_lanthanidiphila,Root,k__Bacteria,p__candidate_division_NC10,g__Candidatus_Methylomirabilis,s__Methylomirabilis_lanthanidiphila,,,
c__Methylacidiphilae,p__Verrucomicrobia,rank_2,c__Methylacidiphilae,Root,k__Bacteria,p__Verrucomicrobia,c__Methylacidiphilae,,,,
o__Methylacidiphilales,c__Methylacidiphilae,rank_3,o__Methylacidiphilales,Root,k__Bacteria,p__Verrucomicrobia,c__Methylacidiphilae,o__Methylacidiphilales,,,
f__Methylacidiphilaceae,o__Methylacidiphilales,rank_4,f__Methylacidiphilaceae,Root,k__Bacteria,p__Verrucomicrobia,c__Methylacidiphilae,o__Methylacidiphilales,f__Methylacidiphilaceae,,
g__Methylacidiphilum,f__Methylacidiphilaceae,rank_5,g__Methylacidiphilum,Root,k__Bacteria,p__Verrucomicrobia,c__Methylacidiphilae,o__Methylacidiphilales,f__Methylacidiphilaceae,g__Methylacidiphilum,
s__Methylacidiphilum_infernorum,g__Methylacidiphilum,rank_6,s__Methylacidiphilum_infernorum,Root,k__Bacteria,p__Verrucomicrobia,c__Methylacidiphilae,o__Methylacidiphilales,f__Methylacidiphilaceae,g__Methylacidiphilum,s__Methylacidiphilum_infernorum
s__Methylacidiphilum_kamchatkense,g__Methylacidiphilum,rank_6,s__Methylacidiphilum_kamchatkense,Root,k__Bacteria,p__Verrucomicrobia,c__Methylacidiphilae,o__Methylacidiphilales,f__Methylacidiphilaceae,g__Methylacidiphilum,s__Methylacidiphilum_kamchatkense
s__Methylocystis_echinoides,g__Methylocystis,rank_6,s__Methylocystis_echinoides,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylocystis,s__Methylocystis_echinoides
s__Methylomonas_lenta,g__Methylomonas,rank_6,s__Methylomonas_lenta,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomonas,s__Methylomonas_lenta
g__Methylovulum,f__Methylococcaceae,rank_5,g__Methylovulum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylovulum,
s__Methylovulum_miyakonense,g__Methylovulum,rank_6,s__Methylovulum_miyakonense,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylovulum,s__Methylovulum_miyakonense
s__Methylocystis_heyeri,g__Methylocystis,rank_6,s__Methylocystis_heyeri,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylocystis,s__Methylocystis_heyeri
g__Methyloglobulus,f__Methylococcaceae,rank_5,g__Methyloglobulus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloglobulus,
s__Methyloglobulus_morosus,g__Methyloglobulus,rank_6,s__Methyloglobulus_morosus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloglobulus,s__Methyloglobulus_morosus
g__Methylosarcina,f__Methylococcaceae,rank_5,g__Methylosarcina,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylosarcina,
s__Methylosarcina_quisquiliarum,g__Methylosarcina,rank_6,s__Methylosarcina_quisquiliarum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylosarcina,s__Methylosarcina_quisquiliarum
g__Methylobacter,f__Methylococcaceae,rank_5,g__Methylobacter,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylobacter,
s__Methylobacter_psychrophilus,g__Methylobacter,rank_6,s__Methylobacter_psychrophilus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylobacter,s__Methylobacter_psychrophilus
f__Methylothermaceae,o__Methylococcales,rank_4,f__Methylothermaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylothermaceae,,
g__Methylothermus,f__Methylothermaceae,rank_5,g__Methylothermus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylothermaceae,g__Methylothermus,
s__Methylothermus_thermalis,g__Methylothermus,rank_6,s__Methylothermus_thermalis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylothermaceae,g__Methylothermus,s__Methylothermus_thermalis
s__Methylomirabilis_oxyfera,g__Candidatus_Methylomirabilis,rank_3,s__Methylomirabilis_oxyfera,Root,k__Bacteria,p__candidate_division_NC10,g__Candidatus_Methylomirabilis,s__Methylomirabilis_oxyfera,,,
g__Methylospira,f__Methylococcaceae,rank_5,g__Methylospira,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylospira,
s__Methylospira_mobilis,g__Methylospira,rank_6,s__Methylospira_mobilis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylospira,s__Methylospira_mobilis
s__Methylocystis_bryophila,g__Methylocystis,rank_6,s__Methylocystis_bryophila,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylocystis,s__Methylocystis_bryophila
s__Methylobacter_marinus,g__Methylobacter,rank_6,s__Methylobacter_marinus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylobacter,s__Methylobacter_marinus
g__Methylomarinum,f__Methylococcaceae,rank_5,g__Methylomarinum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomarinum,
s__Methylomarinum_vadi,g__Methylomarinum,rank_6,s__Methylomarinum_vadi,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomarinum,s__Methylomarinum_vadi
s__Methylobacter_whittenburyi,g__Methylobacter,rank_6,s__Methylobacter_whittenburyi,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylobacter,s__Methylobacter_whittenburyi
g__Methylomicrobium,f__Methylococcaceae,rank_5,g__Methylomicrobium,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomicrobium,
s__Methylomicrobium_album,g__Methylomicrobium,rank_6,s__Methylomicrobium_album,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomicrobium,s__Methylomicrobium_album
g__Methylocaldum,f__Methylococcaceae,rank_5,g__Methylocaldum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocaldum,
s__Methylocaldum_marinum,g__Methylocaldum,rank_6,s__Methylocaldum_marinum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocaldum,s__Methylocaldum_marinum
g__Methylococcus,f__Methylococcaceae,rank_5,g__Methylococcus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylococcus,
s__Methylococcus_capsulatus,g__Methylococcus,rank_6,s__Methylococcus_capsulatus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylococcus,s__Methylococcus_capsulatus
g__Methylomarinovum,f__Methylothermaceae,rank_5,g__Methylomarinovum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylothermaceae,g__Methylomarinovum,
s__Methylomarinovum_caldicuralii,g__Methylomarinovum,rank_6,s__Methylomarinovum_caldicuralii,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylothermaceae,g__Methylomarinovum,s__Methylomarinovum_caldicuralii
g__Methylosinus,f__Methylocystaceae,rank_5,g__Methylosinus,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylosinus,
s__Methylosinus_trichosporium,g__Methylosinus,rank_6,s__Methylosinus_trichosporium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylosinus,s__Methylosinus_trichosporium
g__Methylotuvimicrobium,f__Methylococcaceae,rank_5,g__Methylotuvimicrobium,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylotuvimicrobium,
s__Methylotuvimicrobium_pelagicum,g__Methylotuvimicrobium,rank_6,s__Methylotuvimicrobium_pelagicum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylotuvimicrobium,s__Methylotuvimicrobium_pelagicum
s__Methylomonas_methanica,g__Methylomonas,rank_6,s__Methylomonas_methanica,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomonas,s__Methylomonas_methanica
g__Methylohalobius,f__Methylothermaceae,rank_5,g__Methylohalobius,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylothermaceae,g__Methylohalobius,
s__Methylohalobius_crimeensis,g__Methylohalobius,rank_6,s__Methylohalobius_crimeensis,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylothermaceae,g__Methylohalobius,s__Methylohalobius_crimeensis
g__Methylosoma,f__Methylococcaceae,rank_5,g__Methylosoma,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylosoma,
s__Methylosoma_difficile,g__Methylosoma,rank_6,s__Methylosoma_difficile,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylosoma,s__Methylosoma_difficile
s__Methylomicrobium_kenyense,g__Methylomicrobium,rank_6,s__Methylomicrobium_kenyense,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomicrobium,s__Methylomicrobium_kenyense
s__Methylomonas_koyamae,g__Methylomonas,rank_6,s__Methylomonas_koyamae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomonas,s__Methylomonas_koyamae
s__Methylocaldum_gracile,g__Methylocaldum,rank_6,s__Methylocaldum_gracile,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocaldum,s__Methylocaldum_gracile
g__Methylomagnum,f__Methylococcaceae,rank_5,g__Methylomagnum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomagnum,
s__Methylomagnum_ishizawai,g__Methylomagnum,rank_6,s__Methylomagnum_ishizawai,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomagnum,s__Methylomagnum_ishizawai
s__Methylocaldum_szegediense,g__Methylocaldum,rank_6,s__Methylocaldum_szegediense,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocaldum,s__Methylocaldum_szegediense
s__Methylacidimicrobium_fagopyrum,g__Methylacidimicrobium,rank_4,s__Methylacidimicrobium_fagopyrum,Root,k__Bacteria,p__Verrucomicrobia,c__unclassified_Verrucomicrobia,g__Methylacidimicrobium,s__Methylacidimicrobium_fagopyrum,,
s__Methylosarcina_fibrata,g__Methylosarcina,rank_6,s__Methylosarcina_fibrata,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylosarcina,s__Methylosarcina_fibrata
s__Methylocaldum_tepidum,g__Methylocaldum,rank_6,s__Methylocaldum_tepidum,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylocaldum,s__Methylocaldum_tepidum
g__Clonothrix,f__Methylococcaceae,rank_5,g__Clonothrix,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Clonothrix,
s__Clonothrix_fusca,g__Clonothrix,rank_6,s__Clonothrix_fusca,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Clonothrix,s__Clonothrix_fusca
s__Methylotuvimicrobium_japanense,g__Methylotuvimicrobium,rank_6,s__Methylotuvimicrobium_japanense,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylotuvimicrobium,s__Methylotuvimicrobium_japanense
g__Methyloparacoccus,f__Methylococcaceae,rank_5,g__Methyloparacoccus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloparacoccus,
s__Methyloparacoccus_murrellii,g__Methyloparacoccus,rank_6,s__Methyloparacoccus_murrellii,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloparacoccus,s__Methyloparacoccus_murrellii
s__Methylomicrobium_lacus,g__Methylomicrobium,rank_6,s__Methylomicrobium_lacus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methylomicrobium,s__Methylomicrobium_lacus
